Plate	Inplatecount	Sample	FcR2A_N	FcR2A_zebra	FcR2A_Eadp501	FcR2A_RBD wuhan	FcR2A_AMA1	FcR2A_MSP1	FcR2A_HRPII	FcR2A_FL spike	FcR2A_pp28	FcR2A_EBNA1	FcR2A_VCA	FcR2A_BSA	FcR2A_CelTos	FcR2A_CSP
PLATE1	1	HC19-KC033	60	321.5	-64	65.5	41213	100690	24949.5	-41	31621	76101	31667	267	315	1025.5
PLATE1	1	HC19-KC035	98	441.5	-43.5	110.5	45967.5	109619	27354.5	-33.5	33216.5	72005	32213.5	245.5	351.5	1233.5
PLATE1	1	HC19-KC036	36963	68908	623	488.5	68760	101389.5	27245	16	9060	79195	15967	309	2154	54344
PLATE1	1	HC19-KC038	24968	11874	167	5864	76485	111532	57952	-135	24717.5	56811	55773.5	556	11	4919
PLATE1	1	HC19-KC039	37031.5	13804.5	299	2700.5	98789	129958.5	33495.5	421.5	11184.5	65178.5	56522.5	719.5	9768.5	10559.5
PLATE1	1	HC19-KC040	37.5	-4.5	724.5	161.5	18120	84531.5	2122.5	99.5	9926.5	32684	38945.5	253.5	795.5	381.5
PLATE1	1	HC19-KC041	6756.5	2.5	414.5	610.5	79299	83997.5	6785.5	-505.5	12994.5	42119	52794	1060.5	8318.5	1673.5
PLATE1	1	HC19-KC047	174.5	167.5	55.5	271	64018	105019	36999.5	30	2819	70291	49214.5	215	22184	1548
PLATE1	1	HC19-KC048	220	23112	-134	555	57909	101544	13261.5	17.5	31039	48248.5	16235	348	7400	18995
PLATE1	1	HC19-KC049	808	22240.5	1890	738	64005.5	59307	86199.5	-6	10537	37055.5	35493	410	531.5	29471
PLATE1	1	HC19-KC050	24390.5	295.5	36.5	14999	26341	51876.5	38396.5	395.5	18460	26169.5	13695.5	312.5	853.5	3176
PLATE1	1	HC19-KC051	281	9.5	-66.5	467	42856	81998	26547	259	14740	46825	42719	255	-8	21859
PLATE1	1	HC19-KC057	25.5	32	27	54	36028	31545.5	36644	41.5	5824	27793	18327	126	2526	521
PLATE1	1	HC19-KC058	1079	10590.5	3099	708	13549	12426	16783.5	9.5	6998.5	11459	8738	712	677	5801
PLATE1	1	HC19-KC059	5967	26391	419	264	21544	22593	22114	126	2911	16560	12837	365	569	8196
PLATE1	1	HC19-KC060	37	103	5648	133	37784	51835	21292.5	37.5	1106.5	25033	17438	263	795	8961
PLATE1	1	HC19-KC063	837.5	1775	138	154	12919	33879	6427.5	79	2700	10663.5	14811.5	199	1836.5	8129
