Plate	Inplatecount	Sample	IgG1_RBD alpha	IgG1_N	IgG1_RBD beta	IgG1_RBD omicron	IgG1_RBD lambda	IgG1_RBD gamma	IgG1_zebra	IgG1_Eadp501	IgG1_RBD delta	IgG1_RBD wuhan	IgG1_AMA1	IgG1_MSP1	IgG1_HRPII	IgG1_Tetanus	IgG1_HCoV-229E	IgG1_HCoV-NL63	IgG1_HCoV-OC43	IgG1_pp28	IgG1_pp65	IgG1_EBNA1	IgG1_VCA	IgG1_FL spike	IgG1_BSA	IgG1_CelTos	IgG1_CSP	IgG1_HCoV-HKU1
PLATE1	1	HC-232K	5273.5	3041.5	1905.5	6172.5	1490	1622	82.5	31.5	15190.5	1893	150.5	23155.5	156.5	8633.5	974.5	19146	80189.5	122.5	71	42487.5	15554	6590.5	82.5	561.5	134.5	933.5
PLATE1	1	HC-233K	43905.5	10619.5	20690.5	850.5	28984.5	18542.5	48	43.5	47996	33886	497	12707.5	130.5	1529	63168.5	45985.5	90405.5	678.5	108	40032.5	82248	24277.5	80.5	148.5	256.5	40226.5
PLATE1	1	HC-234K	7374	744	5038.5	3120	559.5	4425	23	-2	7556	4933.5	531	26590.5	200	6778	51132	40369	99745	583	246	38415.5	86115	7948	121	220.5	337	51726
PLATE1	1	HC-235K	47979.5	10470	31961.5	6969.5	43454.5	31778.5	47	20.5	56605	45625.5	287.5	9875.5	106.5	1420	11735.5	28899.5	72177.5	939.5	306	27128	30041.5	32189.5	74.5	202.5	140.5	2372.5
PLATE1	1	HC-236K	126838	83594.5	106353	60424	84108	81903.5	-401.5	-410	169099	104982	1517	31793	47	496.5	56139.5	53786.5	123033	13659	330	112122	128974	75025	631	393	324	31313.5
PLATE1	1	HC-237K	18845.5	6175	12884	15497	8535	11216	135	64	48162	13858.5	1493	34224	327	2877	16080.5	33572	169358.5	1191	1381	107755	136500	20045.5	120	214	37445.5	16561
PLATE1	1	HC-238K	55417	22992.5	40313.5	32772.5	35640	29619.5	-262.5	-265.5	117500.5	32612.5	244	17897.5	-180	601.5	1374.5	14632.5	84791	588.5	152.5	91931.5	4285	25255.5	405.5	516.5	350.5	23850
PLATE1	1	HC-239K	8055	9715.5	5927	7178	2342	4521	63	16	35876	5940	225.5	25479	184	11140.5	24176.5	24131	90807.5	1285	140	65924	25296	7404	90	156	234	21892
PLATE1	1	HC-240K	67352	106243	38184	52728.5	37258.5	37716	3172	95	178266	42251.5	5512	53482	567	37407.5	1090.5	797	129744	15991.5	232	114972	128407	58589	101	1451.5	364	4006.5
PLATE1	1	HC-241K	97972	5199.5	49610.5	5770.5	57939	45474.5	871.5	12.5	88455.5	66610.5	437.5	34769	233.5	80378	10351	30438.5	105958.5	13736.5	255.5	40321.5	38070.5	41772.5	111.5	296	1342.5	40584.5
PLATE1	1	HC-242K	707	162.5	78.5	52	163.5	141	60	71	916	270.5	1017	41430	312	11742	17484	36038	192537.5	1667	327	106358.5	81692	599.5	88	378	452	139297
PLATE1	1	HC-243K	16787.5	15760	8246.5	9541	3561.5	5640.5	421.5	30.5	38187	16924.5	186	20169.5	135.5	2377.5	665.5	11205.5	117796.5	10521.5	119.5	89428	68760	24191.5	98.5	164.5	237.5	7217.5
PLATE1	1	HC-245K	34882.5	17585.5	17014	491.5	26519.5	15260	1370.5	22.5	57093.5	26999.5	210.5	16511.5	111.5	4011.5	1391	14576	57824.5	45519.5	122.5	68324	53437.5	15657.5	100.5	161	297.5	798.5
PLATE1	1	HC-246K	74017.5	7994	43193	3874.5	53052	30054	4641	77	122711	69653	4340	55600	567	4763	9054	32704	90881	17920.5	289	127943	131645	37731	131	182	451	102283
PLATE1	1	HC-247K	30712	40583	21046	18921	16524	16681.5	23	11.5	45198	18235	1223	22485.5	159	6882.5	2791	13321	39234.5	4372.5	281	62313	56429	19812	136	240	426	43404.5
PLATE1	1	HC-248K	117800	11582	68947	9171	69163.5	58298.5	306.5	400.5	107026.5	89443	1247	61795	1595	6919.5	5658.5	29348	141587	16396	581	102216	105072	55077	129	197	743.5	17146
PLATE1	1	HC-249K	56124	32954	74232.5	45887.5	63402	76780	39	21.5	56090	70839	258	29915	252.5	3682	488.5	1919	80687.5	13302	183	45441.5	36952.5	58820	110	288	163.5	57758
PLATE1	1	HC-250K	46092	609	24156	3327.5	29617	24041.5	174	-19	53506.5	28657	49.5	9042	60	556	74	494	63606	93	34	19608.5	287.5	19746	111	113	128	3706
PLATE1	1	MBL-125	1453	313.5	218.5	194.5	98.5	235.5	2680.5	13017.5	339	637	529	40208	583.5	99.5	22864.5	23870	20008.5	28017.5	266.5	45189.5	148585.5	2469.5	99.5	636	777.5	197
PLATE1	1	MBL-126	3193	66	80	42	124	113	5460	88	793	842	252.5	31754	280.5	379	642.5	5547	30554.5	10251	126.5	107878.5	151351	171.5	76	172	233.5	3818
PLATE1	1	MBL-127	1186.5	97.5	48.5	53.5	82	96.5	66.5	55.5	209.5	278.5	2803.5	100201.5	367.5	17255.5	8279.5	42573.5	74769	6402.5	1212.5	65012.5	76917.5	500.5	64.5	1115.5	227.5	3705.5
