Plate	Inplatecount	Sample	IgA1_RBD alpha	IgA1_N	IgA1_RBD beta	IgA1_RBD omicron	IgA1_RBD lambda	IgA1_RBD gamma	IgA1_zebra	IgA1_Eadp501	IgA1_RBD delta	IgA1_RBD wuhan	IgA1_AMA1	IgA1_MSP1	IgA1_HRPII	IgA1_Tetanus	IgA1_HCoV-229E	IgA1_HCoV-NL63	IgA1_HCoV-OC43	IgA1_pp28	IgA1_pp65	IgA1_EBNA1	IgA1_VCA	IgA1_FL spike	IgA1_BSA	IgA1_CelTos	IgA1_CSP	IgA1_HCoV-HKU1
PLATE1	1	HC19-KC065	-81.5	198	-1021	-1001	-914.5	-830	-1067	-1008.5	786	1012	658.5	-619	-1064.5	-992.5	-312	449	1202.5	339	-572	106	4861	-197	1488	554.5	-222	346
PLATE1	1	HC19-KC066	-429.5	-815	-1036	-953	-1009	-854	-1220	-1226	-640	589	100	-1066	-1237	-1257	292.5	1350	129.5	5	-835	89	2013	-230.5	1628	673.5	-470	1119
PLATE1	1	HC19-KC067	-703.5	-850.5	-971.5	-1058.5	-966.5	-891.5	-1012.5	-1123	-684	598.5	249.5	-305.5	-1108.5	-1063.5	-163	446.5	-159	94.5	-606.5	216.5	5109	-231.5	1653.5	535.5	-13.5	-677
PLATE1	1	HC19-KC068	-375.5	4163	-1325	-1357	-671	-1107.5	-1399.5	-1317	2086	758	588.5	-202	-1349	-1382	627	5068.5	612	423	-807	576	3291	-236	1784	1115	109	2707
PLATE1	1	HC19-KC069	891	-101	-1319	-1260	-1119.5	-830	-1893	-1739	1523	1138.5	358	-955.5	-1777	-1531	5230	7087	17303	5112	-833	727.5	5213	-380.5	2319	388.5	-964	57509
PLATE1	1	HC19-KC070	-56	-530	-1264.5	-1150	-1225.5	-1013.5	-1395	-1163	-274	1172	331	-865	-1400	-1230	12858	199806	267993	354	-658.5	-68	7458.5	-149	1816	395	442	36125.5
PLATE1	1	HC19-KC071	-547	-231	-1141	-1567.5	-1342	-740	-1616	-907.5	-508	648	226	-634	-1480	-1427	1824	918	4679.5	5325	-817	-305	1584.5	-375.5	2328	729.5	1224	845
PLATE1	1	HC19-KC072	1585	3049	-1561	-1377	-1313.5	-1009	-1586	-1528	1145	1695	1588	11457	-1058	-1392	4805	5494.5	245622	3631	-770	31.5	4271.5	-134	2197	929	91	4841
PLATE1	1	HC19-KC073	-246	-328.5	-623	-850.5	-719	-542	-882.5	-860	190	554.5	155	-487	-896.5	-506	1014	1373	35477.5	483	-381	5	4154	-162.5	1206	550	-288	29165.5
PLATE1	1	HC19-KC074	-148	-422	-617	-618	-509	-429.5	-553.5	-587	-385	271	-53	948.5	-526	-565	-35	519	140954	726	-354.5	56	3653.5	-198	840	337	2218	943
PLATE1	1	HC19-KC075	98	-46.5	-384.5	-346	-309	-258.5	-357	-331	1155	363	213	-225	-247	-342.5	507	1563	6514	246	-158.5	-24	168	-82	624	210	472	1388
PLATE1	1	HC19-KC076	358.5	-673.5	-1122.5	-928.5	-897	-883.5	-1114.5	-997	-381.5	1023.5	52	-883.5	-1088.5	-1088.5	433.5	793	1800.5	7402	-416	-213.5	2044.5	-148	1421.5	403.5	93	709.5
PLATE1	1	HC19-KC077	4636.5	771	1668	-858.5	478	863.5	-996	-997	2195.5	3011	-87	-799	-850	-869	131	7558	5895	788.5	-528.5	-87	1068	-142	1478	533	-60	1647
PLATE1	1	HC19-KC078	-760	-569	-1045	-1197	-1093	-626	-1237.5	-1267	-435	455	189.5	-943	-1149	-1180	213	87	47794	305.5	-466	-207	463	-75	1514	615	16587.5	1960
PLATE1	1	HC19-KC081	-1164.5	-1129	-1724.5	-1549	-1346	-1309.5	-1638	-1684	-868	368.5	1855.5	-1079	-1603	-1658	732.5	4572.5	59691	174	-1061	56.5	1367.5	-347.5	2069	322	165	16353
PLATE1	1	HC19-KC082	452	1298	-400	-471	-194	-76	-469	-419.5	8	662	96.5	1350	-311	-468	595.5	1082	7760.5	868	-17	70	738	15	844	499	385	3080
PLATE1	1	HC19-KC083	-706	-699	-1694	-1699.5	-1638	-1467	-1724	-1674	-1240	947	362	-337	-1598	-1519	-626	11130	10582	360	-709	-40	1188	-335	2024	873.5	-669	18284.5
PLATE1	1	HC19-KC084	129.5	3	-571	-670	-554	-347	-739	-727	-375	354	-28	-222	-682	-549	82	935	9034.5	680	-386	10.5	6562.5	-216	1052	556.5	226.5	1246
PLATE1	1	HC19-KC086	-951.5	-1218	-1801.5	-1748	-1656	-1550.5	-1818	-1710	-973	460	-181.5	-1263.5	-1705.5	-1762.5	-861.5	8.5	2199.5	7821.5	-1412	-454.5	9407.5	-710.5	2126.5	474.5	-701.5	-1363.5
PLATE1	1	HC19-KC087	-0.5	8152	-673.5	-319.5	-720.5	-529	-934.5	-728.5	-202.5	669	500	-142	-804	-832	767	301	3505	1122.5	-230	23526	10842	735	1288	1147	210.5	-424
PLATE1	1	HC19-KC088	-192	-129	-708.5	-632	-524.5	-519.5	616.5	-520	-476.5	242	-70	-615.5	-716.5	-697	290.5	5562.5	14909.5	409.5	-333.5	1853.5	511.5	-199.5	1054.5	274	-31.5	958.5
PLATE1	1	HC19-KC089	2092	488	-1215	-1503	-1297.5	-1050	-1668	-1547.5	1488	1292	1107	601	-1549	-1350	-359	2969	13125	519	-1112.5	553.5	2739	-70	2021	661	356	1542
PLATE1	1	HC19-KC090	-883	-1329	-1484.5	-1377	-1498	-1388	-1803.5	-1564	-821	1180.5	1655.5	2674	-1732	-1822.5	13985.5	14408.5	14305	6702	-1087	-473	1827	-507.5	2321	958	-227.5	-1406
PLATE1	1	HC19-KC091	199	-301	-361	-457.5	-498	-284	-657	-579	-238	356.5	49.5	-145	-612.5	-600	46217	36622.5	45576	16348	-245	-134	1080.5	-137	987	243	-21	220.5
PLATE1	1	HC19-KC092	51	-208	-428.5	-361.5	-219.5	-311.5	-427	-343	-228	288	400	1698	-452	-437	434.5	505	6447	714	-38	3020	2538	-91	756	244.5	245	15101.5
PLATE1	1	HC19-KC093	-623	-896.5	-1463	-1414	-910.5	-601.5	-1395	-1274	1381	676	817	-331	-1313	-1324.5	-82	4456.5	30171	2711	-905	-75	1693	-249	1984	592	40	16106
PLATE1	1	HC19-KC094	47.5	246.5	-278.5	-16.5	-176.5	-135.5	-245	-189.5	-21.5	141.5	281	27	-212	-213.5	23.5	1102.5	1112.5	675	6	19.5	3179.5	-81.5	467.5	223.5	253	644.5
PLATE1	1	HC19-KC095	783	-47	-550.5	-604	-595	-338	-602	-590	58	862	2248	1774	-547.5	-587.5	356.5	82530.5	278561	691.5	-123.5	1220	202792.5	-15	1139	538	-101	415
PLATE1	1	HC19-KC096	-290.5	84.5	-523.5	-278.5	-338.5	-295	-509.5	-442.5	-392.5	215.5	232.5	-304.5	-438.5	-404.5	1577.5	1768.5	1869	272.5	-204.5	136.5	393.5	127.5	769.5	418.5	197.5	249.5
PLATE1	1	HC19-KC097	-466.5	-191.5	-1408	-1519	-1310	-1043	-1482	-1366	40.5	1009	1977.5	503	-1333	-1336	5091	12786.5	236065	3556	-962	3305	8772	-293	1817	1049	-427.5	487
PLATE1	1	HC19-NM031	-169	728	-446	-676	349.5	-151.5	-732.5	-593	727	388.5	551	-312	-578	915	1658.5	1912	4894.5	2331.5	462	209	3544	-45.5	1059	547	479	343
PLATE1	1	HC19-NM032	-172	-164	-595.5	-575.5	-516	-440	-486.5	-490	-258.5	498	572	-314	-424.5	-434.5	-64	329.5	4900	3388.5	-239	532.5	594	-136	811	344	168	6291
PLATE1	1	HC19-NM033	-642.5	-628.5	-953	-858	-1009.5	-699.5	-766	-903.5	-620.5	541.5	98.5	-821.5	-1010.5	-960.5	-666	500	6604.5	33	-848.5	30.5	1602	-207.5	1321.5	524.5	-327.5	1416
PLATE1	1	HC19-NM034	-501	-1900.5	-3085.5	-3028.5	-2672.5	-2598.5	-3028.5	-2785	-1502.5	2548	2884.5	-826	-2779.5	-2740.5	5412.5	16617.5	2572.5	40	-2320.5	5852.5	7721	-669.5	3645.5	1562.5	188	-108
PLATE1	1	HC19-NM035	674	-125	-566	-512	-435	-308.5	-556	-508	83	662	1596	660	-447	-303.5	-65.5	145.5	10133	315.5	-144	2882	2557	-164	1006	305.5	467	1069.5
