Plate	Inplatecount	Sample	IgA2_RBD alpha	IgA2_N	IgA2_RBD beta	IgA2_RBD omicron	IgA2_RBD lambda	IgA2_RBD gamma	IgA2_zebra	IgA2_Eadp501	IgA2_RBD delta	IgA2_RBD wuhan	IgA2_AMA1	IgA2_MSP1	IgA2_HRPII	IgA2_Tetanus	IgA2_HCoV-229E	IgA2_HCoV-NL63	IgA2_HCoV-OC43	IgA2_pp28	IgA2_pp65	IgA2_EBNA1	IgA2_VCA	IgA2_FL spike	IgA2_BSA	IgA2_CelTos	IgA2_CSP	IgA2_HCoV-HKU1
PLATE2	1	HC19-KC118	-819.5	-1010	-998.5	-1001	-955	-915.5	-1002.5	-1031.5	-835.5	307.5	197.5	-988.5	-974.5	-1035	-664	344.5	886.5	340	-833.5	101.5	497.5	-370	1111.5	665	-914	-149.5
PLATE2	1	HC19-KC119	-140	-233	-254.5	-237.5	-246.5	-215.5	-229.5	-262.5	-103.5	110.5	100	-235.5	-200.5	-269.5	-130.5	86.5	456.5	10.5	-165.5	-5.5	924.5	-56.5	343.5	499.5	-207.5	-124.5
PLATE2	1	HC19-KC120	-399.5	-469.5	-481.5	-509.5	-482.5	-444.5	-493.5	-528.5	-387.5	238.5	69.5	-464	-479.5	-531.5	-223	60	-201	90.5	-337.5	14	280.5	-86.5	599.5	257.5	-463.5	-206.5
PLATE2	1	HC19-KC121	-277.5	-308.5	-311.5	-269	-306.5	-260.5	-289.5	-325.5	-278.5	133.5	40	-303	-273.5	-329	-162.5	88.5	3825.5	393.5	-212.5	17.5	179.5	-94.5	407.5	259	-83.5	959
PLATE2	1	HC19-KC122	54.5	-105	-146.5	-139	-72	-4.5	-126	-162	-45.5	47	69	-113	-98	-174.5	-59	186.5	180.5	23.5	-69.5	7	-27.5	-29.5	259.5	170.5	-98.5	-97.5
PLATE2	1	HC19-KC123	-203	-288	-263	-302.5	-296.5	-225	-293.5	-309	-238	21.5	28	13.5	-278	-335	-120.5	125.5	872.5	-2	-164	-42	57	-60.5	400	118	-261.5	-75
PLATE2	1	HC19-KC124	-116.5	-246	-302	-306	-300	-267	-287	-318	-216.5	44	53	-232.5	-260	-319	-53	146.5	1713	47	-152.5	-28.5	31	-58	393	120	-280	12
PLATE2	1	HC19-KC125	57	-69	-62	-68	-53	6.5	-73	-96.5	399	124	39	-75	-58	-109	107.5	144	230.5	43	8	-7	-10	-30	181	142	-60.5	-1
PLATE2	1	HC19-KC126	347.5	-57	-124	-120	-110	-66	-135	-143	1406	190.5	180.5	-80.5	-84	-152.5	-2	56	192.5	225	-45	58	23	-19	238	201	-45.5	-42.5
PLATE2	1	HC19-KC127	-4003	-4109	-4089	-4102.5	-4089	-4025	-4086	-4115	-3973.5	1157.5	-268	-4058	-4052	-4128	-3760	-69.5	-3492	-2776.5	-3686	-541	1466	-1879.5	4201	2592	-4058	-3959.5
PLATE2	1	HC19-KC128	-275	-266	-295	-288	-293	-257	-276.5	-302	-238	68.5	1	-298.5	-263	-305	-67	186	-44	-19	-214	3.5	78	-129	389	207	-264	-173
PLATE2	1	HC19-KC129	-822	-869.5	-869.5	-862	-841	-827.5	-862.5	-864.5	-765.5	-30.5	81	-835	-828.5	-905.5	-673.5	-51.5	-456.5	2.5	-547.5	-26.5	7313.5	-252	1000.5	409.5	-624.5	-726.5
PLATE2	1	HC19-KC130	-352.5	-421	-437	-428	-410	-376.5	-428.5	-455	-283	161	196.5	-407	-400	-460	-236	77	-186	-55	32	96	1069	-127	532	309	-366	-287
PLATE2	1	HC19-KC131	-138	-166.5	-192	-179.5	-165.5	-138	-165	-202	-53	102	91	-107	-140	-206	-12	324	412	85.5	2385	58.5	31.5	-56.5	276	206	-125	-97.5
PLATE2	1	HC19-KC132	-244	-272.5	-291	-285	-266.5	-240	-287.5	-309.5	-155	51.5	25	-267.5	-249	-327.5	-116.5	92.5	-52	65.5	1402	-40.5	166	-96.5	389.5	168.5	-223	-133
PLATE2	1	HC19-KC133	-174	-233	-252	-200.5	-218	-201	-246.5	-247	102	98	129.5	-165	-223	-274	-74	87.5	88	11.5	-59	35	435	-35	352	236	-167.5	-85
PLATE2	1	HC19-KC134	-80.5	-82.5	-126	-88	-108	-91	-115	-138.5	-44.5	144	930	786.5	-27	-149	286	423	6325	104.5	-41	927	4106	-35	215	113.5	41.5	48
PLATE2	1	HC19-KC135	-207	-292	-312.5	-291.5	-311	-269.5	-298.5	-320	-81	38	146	-168.5	-252	-329	-87.5	30	1098	-12	-216	49	6155.5	-124	403	382	-232	-165.5
PLATE2	1	HC19-KC136	-202.5	-168.5	-254.5	-261.5	-230.5	-128.5	-238	-247.5	-205	45	82	-126	-104.5	-180.5	-58.5	64.5	16.5	318.5	-128.5	-19.5	82.5	-81.5	366.5	136	-190.5	-79.5
