Plate	Inplatecount	Sample	FcR3A_N	FcR3A_zebra	FcR3A_Eadp501	FcR3A_RBD wuhan	FcR3A_AMA1	FcR3A_MSP1	FcR3A_HRPII	FcR3A_FL spike	FcR3A_pp28	FcR3A_EBNA1	FcR3A_VCA	FcR3A_BSA	FcR3A_CelTos	FcR3A_CSP
PLATE1	1	HC-227K	15701	27.5	71	39342.5	922.5	88520	642	20790	8722	30294.5	27350.5	250	1596	138
PLATE1	1	HC-228K	14575	273	9	30718	275	54017	316	18794.5	19444.5	36856	12269	386	140	175
PLATE1	1	HC-229K	10240.5	261	65	1902	112	20717	142	754.5	1045	27985	10766	175	79.5	123
PLATE1	1	HC-230K	22476.5	4821.5	101	53090	220	46026.5	399.5	30475	10169	37903	19692.5	218	307	106
PLATE1	1	HC-231K	163	2808	201.5	106	203.5	37101	229	47	282	16996.5	26797.5	187	758.5	175
PLATE1	1	HC-232K	17853	115.5	65.5	11315.5	143.5	60857.5	332.5	6367.5	97.5	45202.5	16814.5	163.5	5570.5	118.5
PLATE1	1	HC-233K	14002	40.5	37.5	25528.5	105.5	16446	91	11383	1211	18363	14112	167	1093.5	49
PLATE1	1	HC-234K	362	31	-2	6821.5	153.5	35989	115	2948	38.5	34073	16912	89	132	102
PLATE1	1	HC-235K	10026	56.5	12.5	17226.5	191.5	11108.5	66	9487	424.5	12589.5	5767	71.5	96.5	104
PLATE1	1	HC-236K	22038.5	56.5	49.5	16915.5	389.5	14274.5	184.5	9870.5	1684.5	13433	7604.5	142.5	154	130
PLATE1	1	HC-237K	5456	57.5	30.5	10551	456	23394.5	186.5	6282.5	58.5	14631.5	11401	132.5	149	2904.5
PLATE1	1	HC-238K	29753	-56	-57.5	29593	84	33324.5	2	9700	766	25805	2901.5	278	303	94
PLATE1	1	HC-239K	15082	33.5	-2	9182	72	29571	127	3771	951.5	23752	7471	209	160	333
PLATE1	1	HC-240K	49762	3959	42	22561	87.5	35317	320	14842	4110	25938	12614	145	765	149.5
PLATE1	1	HC-241K	2989	410.5	28	19391.5	122	23899	111	10222	4513	10858	5622.5	222	173	147.5
PLATE1	1	HC-242K	260	-16	28.5	186	327	41453	207	65	348	27704	13364.5	273	229	78
PLATE1	1	HC-243K	14263	350	25.5	13203	72	23599.5	115	8277	4214.5	22299	14106	270	269.5	77
PLATE1	1	HC-245K	18852.5	2799.5	4	18533	101	25435.5	209	9070	13820	13525	8483.5	248	93.5	117
PLATE1	1	HC-246K	2878.5	2173.5	13.5	18301.5	226.5	26539.5	302.5	5498	3737	21987	8591.5	114.5	84	81
PLATE1	1	HC-247K	36733	59	58	15969.5	362	26886.5	223	8633.5	1455.5	17747	10826	121	157	138
PLATE1	1	HC-248K	8328	314	328	19456	367.5	26439	927	10925	2996	16798	10043	169	244	124
PLATE1	1	HC-249K	35104.5	22.5	47.5	20659	173.5	30597	249	22713	5949	20283	13767.5	301	229	64.5
PLATE1	1	HC-250K	7310.5	157	41.5	19179	88.5	14058.5	137	10397	42	12120	9149	172	101.5	109
PLATE1	5	BACKGROUND0	57	22	128	58	48.5	367	207	62	78.5	-29	521	167	77.5	191.5
PLATE1	1	MBL-125	166.5	2400	6290.5	128.5	345.5	13156.5	267.5	203.5	12049.5	6094.5	14593	107.5	266.5	258.5
PLATE1	1	MBL-126	349	37102.5	155	25315.5	277.5	55324.5	385	18.5	13919.5	30028	34227	242.5	157	153.5
PLATE1	1	MBL-127	135	23	85	171	525	32522	418	7	1649.5	12112	11676.5	179	5038	95
PLATE1	1	MBL-128	665	109	85	587	10311.5	64873	702	15	756	24960.5	28498	187	10932	191.5
PLATE1	1	MBL-129	925	13196	-320.5	393.5	688	35603	-179	64	814	42380.5	20679	521	491.5	124.5
PLATE1	1	MBL-130	269	645	1825	128.5	113	46157	111	35.5	729	63329.5	23269	293	101	124
