Plate	Inplatecount	Sample	IgG1bindingaffinity_RBD alpha	IgG1bindingaffinity_N	IgG1bindingaffinity_RBD beta	IgG1bindingaffinity_RBD omicron	IgG1bindingaffinity_RBD lambda	IgG1bindingaffinity_RBD gamma	IgG1bindingaffinity_zebra	IgG1bindingaffinity_Eadp501	IgG1bindingaffinity_RBD delta	IgG1bindingaffinity_RBD wuhan	IgG1bindingaffinity_AMA1	IgG1bindingaffinity_MSP1	IgG1bindingaffinity_HRPII	IgG1bindingaffinity_Tetanus	IgG1bindingaffinity_HCoV-229E	IgG1bindingaffinity_HCoV-NL63	IgG1bindingaffinity_HCoV-OC43	IgG1bindingaffinity_pp28	IgG1bindingaffinity_pp65	IgG1bindingaffinity_EBNA1	IgG1bindingaffinity_VCA	IgG1bindingaffinity_FL spike	IgG1bindingaffinity_BSA	IgG1bindingaffinity_CelTos	IgG1bindingaffinity_CSP	IgG1bindingaffinity_HCoV-HKU1
PLATE1	1	MBL-139	114	51.5	47.5	26	47.5	87.5	24.5	31.5	91	99.5	128868.5	6808.5	337.5	1037.5	5501.5	9955.5	35701	14566	49.5	306.5	35085	57.5	76.5	146.5	2728.5	2020.5
PLATE1	1	MBL-151	73	59.5	7.5	-25.5	42.5	19.5	12	0.5	583	263	168	7079.5	55	11771.5	815.5	21362.5	56352.5	54459.5	1964.5	20632.5	91024.5	133.5	147.5	103.5	136.5	25240
PLATE1	1	MBL-152	13821	1340	3471	192.5	15228	3699	5016.5	88	11168	7247.5	151107	110219.5	3107	20154.5	3573.5	3366	33077	16494	126.5	40341.5	132391	1952	112	842	1167	4400
PLATE1	1	MBL-153	915	2622.5	237	74.5	747	266.5	13256.5	32	1042	700	111672	13633.5	1691.5	1122	874	1363	11653	2027	66	54567	107976.5	142	120	1514	682	7656
PLATE1	1	MBL-154	1519	1137.5	326	77.5	645	489.5	565.5	102.5	3530.5	1379.5	136951	187954.5	8554	13697	22536	51026	65202.5	77280.5	276	80748	148265	453	228	868	2733	93293
PLATE1	1	MBL-156	29159.5	666.5	20195.5	140.5	16819.5	16420.5	60.5	4.5	26696	22944	11527	10574.5	126.5	27757	21746.5	25692.5	20674.5	23799.5	67.5	45936.5	30824.5	4814.5	105.5	125.5	5991	11971.5
PLATE1	1	MBL-157	115134	19035	53022	10453.5	80918.5	50923	416	26.5	177610	115453	92232	211392	17871.5	602	30600	61439	135799.5	1684	166.5	3439	100307	15433	171	118	247	38366.5
PLATE1	1	MBL-158	47	35.5	15	18	31	63	2563	52.5	59.5	192.5	85626	47852.5	6233	1927	1398	655	4599	251	97.5	64618	76057.5	128	94	80	182	187.5
PLATE1	1	MBL-159	1666	2638	542.5	47	1530.5	512	-8	-22	6595	2305.5	863.5	27787.5	117	2800.5	607	388	57920	2668	144.5	82007	79954	664	360	252	790.5	2556.5
PLATE1	1	MBL-160	179	37	214	-28	41	29	7313	-5	4458	1056.5	2008.5	36819	319.5	18251.5	22460.5	21080.5	30957	41027.5	643.5	121307	112069	729	247	229	553.5	40788
PLATE1	1	MBL-161	2677	2323	640	42	718	609	968	-6	2489.5	1069.5	103978	61346	13266	34681	3155.5	4103	34282	390	27	36060.5	106122	321	401	18.5	137	30529
PLATE1	1	MBL-162	10444.5	19275.5	3179	424	6096	2419	222.5	33	38139.5	11362.5	443	22218	121	4724.5	1458	40762	48449	49955	133.5	61610.5	60401.5	1786	136	105	201	749
PLATE1	1	MBL-163	126	89	115.5	-31	110	178.5	-113.5	-81.5	58	141	112339.5	136347.5	4149.5	237.5	8129	15509.5	48597.5	12628	69	33394	82321.5	3	775	52	39074	26437
PLATE1	1	BL763	33	74	2	-4	39	44	1437.5	97	101	385.5	101004	39337	239	11234	1490	42610	42930	674	231.5	129801.5	94765.5	158	204	149	324	24682
PLATE1	1	BL764	138.5	49	83.5	-23	552	29.5	5338	8516	83	306	544	43092	696	1864	302	419.5	863	15643.5	225	141483	141289	164	270	213	890	58.5
PLATE1	1	BL765	94	141	44.5	88	62.5	112.5	69	80	114.5	488	777	16552	268	13792	25630.5	9035	113586	17955	233.5	93365	7486	305	99	448	2226	39351
PLATE1	1	BL766	134	548.5	77	32.5	86	81.5	146.5	77	94	280	106014.5	33274	457	770	380	15233	46572	7445	179	130216	107361	112	143	376	1616.5	24674
PLATE1	1	BL767	91.5	82	35	8.5	77	64	1196.5	281	49.5	139.5	64888	119245	4560.5	49.5	315.5	1985	73807	292	72	68	89136	59.5	120	132	1083.5	9606
PLATE1	1	BL768	98	343	28	104	92	70	17985	112	143	216	80051	135422.5	9143.5	20460	1229	23710.5	50763	86848.5	241.5	83495.5	83997	86	240	351	2080.5	3890
PLATE1	1	BL769	39	61.5	118	86	30	51	3120	31	70.5	381	106221	106369.5	984	183	53690	71561.5	81803	3753.5	184	55378	58263	222	119	95	69018	15469
PLATE1	1	BL770	373	65	55	36.5	200.5	60.5	11298	259	143.5	2379	69423.5	168692.5	3659	26928	31616	81752	25115	19994	177	2538	94001	265	113	299.5	58828	28331
PLATE1	1	MBL-059	-348.5	-333.5	-378.5	-415.5	-400.5	-359	-378.5	-351.5	-260.5	10949	91412	8473.5	124.5	-339	1787	9324	94708	6410.5	889	92416	100627.5	6052.5	546.5	642	867	8349.5
PLATE1	1	MBL-108	70	99	43	26.5	56	73	5924.5	38	146	148.5	46519	23514.5	524	7979.5	4605.5	12634	44603	5377	95	20401.5	45059	94	82	66	133	2315
PLATE1	1	BL739	467	370	54	18	3520	63	5895	34	273	113	67352	26624.5	169.5	5814	5332	8096	38771	3738.5	72	81654	61227.5	50.5	63	236	1391.5	2743
PLATE1	1	BL654	483.5	1284	164	1933	324	361	52798.5	472	278	375	171308	81949.5	21492	691.5	135895.5	160028.5	204336.5	6705	377	10495.5	163107.5	167	155	404	7730	53836.5
PLATE1	1	BL671	436.5	4482	113	52	509	311	528	46	385	191	31069.5	11517	568	1337	1222	18570	77305	50366.5	79	98382	38254.5	82	89	159.5	8632	24603
PLATE1	1	BL683	232	813	130.5	30	210.5	210	1471	316.5	165	339	176733.5	158862	626.5	24876	676	6479	8723	6429	366	64406	121933	138	192	4906	14477	2134.5
PLATE1	1	BL701	85	1361	83	45.5	62	222	382.5	53	94	185	115412	21457	2078	83	29543.5	38588	41736	3643	121	120589.5	96593.5	85	98	151	1030	153
PLATE1	1	EBV-MALE-NEG	43	6	16	21	38	64.5	32	9	49	23	75.5	395	63.5	595	433	827	6047	24	18	123.5	257	8	86	77.5	55	127
PLATE1	2	EBV-MALE-NEG	15.5	9.5	23.5	26.5	15.5	53	42	23	40	27	23.5	114	51	154	183.5	280	1714	28.5	17	14	48	18	51	57	41.5	35
PLATE1	1	EBV-FEMALE-NEG	15	15	24	12.5	7	43	33	1	41	33	54	113	23	3161	1744	875	20230	209	5	405	53	15	105	53	66	1847.5
PLATE1	2	EBV-FEMALE-NEG	23	19	34	22	19	43	37.5	10	37	43.5	26.5	41.5	53	199	119	146	4136.5	57	32.5	56	24.5	15	53	61	45.5	197.5
