Plate	Inplatecount	Sample	IgG1bindingaffinity_RBD alpha	IgG1bindingaffinity_N	IgG1bindingaffinity_RBD beta	IgG1bindingaffinity_RBD omicron	IgG1bindingaffinity_RBD lambda	IgG1bindingaffinity_RBD gamma	IgG1bindingaffinity_zebra	IgG1bindingaffinity_Eadp501	IgG1bindingaffinity_RBD delta	IgG1bindingaffinity_RBD wuhan	IgG1bindingaffinity_AMA1	IgG1bindingaffinity_MSP1	IgG1bindingaffinity_HRPII	IgG1bindingaffinity_Tetanus	IgG1bindingaffinity_HCoV-229E	IgG1bindingaffinity_HCoV-NL63	IgG1bindingaffinity_HCoV-OC43	IgG1bindingaffinity_pp28	IgG1bindingaffinity_pp65	IgG1bindingaffinity_EBNA1	IgG1bindingaffinity_VCA	IgG1bindingaffinity_FL spike	IgG1bindingaffinity_BSA	IgG1bindingaffinity_CelTos	IgG1bindingaffinity_CSP	IgG1bindingaffinity_HCoV-HKU1
PLATE1	1	HC-058K	7270.5	13483	2456	3776	1209	1962	115	26	12817	4795	15840	21219	467	960	279	6827	24811.5	1037	101	15755	10279	6466	97	117	638	4899
PLATE1	1	HC-059K	6203	4229	661	52	2710.5	901	132.5	98	20008	5862	6453.5	26634	334.5	1900.5	671.5	12739	62252	1372	113	39032	72493.5	1994	156	201	29	6697
PLATE1	1	HC-060K	162	148	105	55.5	129	100	53.5	17.5	213	572.5	54962	88675	2015	2041	11814	21134.5	73723	656	155	65568	38014	381	170	258.5	2583	36531
PLATE1	1	HC-061K	1264	2370.5	485	1778.5	4656	616	1786.5	70.5	20657	2223	53252	29895	349	18581	2174.5	5962.5	36168	26314	160.5	52887	26587	3083	260	180	3500.5	3943
PLATE1	1	HC-062K	15163	9269	13293	3699.5	13628.5	7347	54	72	12710	9097	918	17405	220	488	1963	6322	15264.5	328	63	313	6467.5	4120	136	117.5	100	7411
PLATE1	1	HC-063K	25664	18045.5	15100	958	15721	12155	6457.5	26	33670	22493.5	2083	40525	280.5	9210	396.5	11944	34389	10910	70	368.5	36738.5	7010	134	191	172	6340
PLATE1	1	HC-064K	134.5	90.5	51.5	34.5	73	116.5	663.5	29.5	125.5	106.5	33818	61532.5	10114.5	6402.5	1295.5	21033	81126.5	3076.5	80	52579.5	36498.5	72	191.5	406	6465	43147.5
PLATE1	1	HC-065K	400	1319.5	196	177	173	482	19026	765.5	917	727	1582	10225	191.5	12117	1378	4447.5	52043	30031.5	374	16059	36624	659	123	318.5	100	881.5
PLATE1	1	HC-066K	49.5	6037.5	32.5	30	51	90	119.5	23	72	367.5	25362	44466	243	49780	2039	1661.5	33654	10425	159.5	69420	50989	288	128	193	579	408
PLATE1	1	HC-067K	1952.5	7960	742	1712	648	649	88	66	8368.5	1569	73324	10302	228	658	589	6280	40854	633	96	58862	67130.5	2936.5	79	141.5	931	19572
